платформа,показатель,three.js,R3F
Apple M4 · Chrome,"время до первого кадра, мс",102.47749999165535,228.71500001847744
Apple M4 · Chrome,"загрузка и исполнение бандла, мс",42.98499999940395,86.45000000298023
Apple M4 · Chrome,"инициализация сцены, мс",58.707499995827675,141.06249998509884
Apple M4 · Chrome,"рендер первого кадра, мс",25.40250000357628,21.072500005364418
Apple M4 · Chrome,"память JS к первому кадру, МБ",12.186128616333008,16.541720867156982
Apple M4 · Chrome,"время блокировки (TBT), мс",0.0,0.0
AMD Ryzen 5 · Chrome,"время до первого кадра, мс",290.9199999999255,490.4550000000745
AMD Ryzen 5 · Chrome,"загрузка и исполнение бандла, мс",115.35750000085682,208.964999999851
AMD Ryzen 5 · Chrome,"инициализация сцены, мс",174.68250000104308,273.5525000002235
AMD Ryzen 5 · Chrome,"рендер первого кадра, мс",77.5449999999255,58.25249999947846
AMD Ryzen 5 · Chrome,"память JS к первому кадру, МБ",13.674466133117676,16.056480407714844
AMD Ryzen 5 · Chrome,"время блокировки (TBT), мс",105.0,81.00000000000003
AMD Ryzen 5 · Firefox,"время до первого кадра, мс",712.44,900.8199999999999
AMD Ryzen 5 · Firefox,"загрузка и исполнение бандла, мс",405.38,524.2
AMD Ryzen 5 · Firefox,"инициализация сцены, мс",299.80999999999995,375.84999999999997
AMD Ryzen 5 · Firefox,"рендер первого кадра, мс",185.11999999999998,140.59000000000003
AMD Ryzen 5 · Firefox,"память JS к первому кадру, МБ",,
AMD Ryzen 5 · Firefox,"время блокировки (TBT), мс",,
