платформа,показатель,вариант,отношение к three.js [95% ДИ],p (Холм),вывод
AMD Ryzen 5 · Chrome,"время кадра, p99, мс",R3F ref,×1.07 [1.03–1.09],0.005,больше на 7%
AMD Ryzen 5 · Chrome,"время кадра, p99, мс",R3F ref-central,×1.02 [0.98–1.05],1.000,не ясно
AMD Ryzen 5 · Chrome,"время кадра, p99, мс",R3F state,×3.77 [3.54–3.95],"< 0,001",больше на 277%
AMD Ryzen 5 · Chrome,"время кадра, p99, мс",R3F ref + parent-state,×2.43 [2.35–2.47],"< 0,001",больше на 143%
AMD Ryzen 5 · Chrome,"время кадра, СКО, мс",R3F ref,×1.03 [0.92–1.18],1.000,не ясно
AMD Ryzen 5 · Chrome,"время кадра, СКО, мс",R3F ref-central,×1.03 [0.90–1.14],1.000,не ясно
AMD Ryzen 5 · Chrome,"время кадра, СКО, мс",R3F state,×5.09 [4.54–5.53],"< 0,001",больше на 409%
AMD Ryzen 5 · Chrome,"время кадра, СКО, мс",R3F ref + parent-state,×5.02 [4.50–5.45],"< 0,001",больше на 402%
AMD Ryzen 5 · Chrome,"время кадра, медиана, мс",R3F ref,×1.05 [1.04–1.06],"< 0,001",больше на 5%
AMD Ryzen 5 · Chrome,"время кадра, медиана, мс",R3F ref-central,×1.00 [0.99–1.01],1.000,≈ равны
AMD Ryzen 5 · Chrome,"время кадра, медиана, мс",R3F state,×3.06 [3.03–3.13],"< 0,001",больше на 206%
AMD Ryzen 5 · Chrome,"время кадра, медиана, мс",R3F ref + parent-state,×1.05 [1.04–1.07],"< 0,001",больше на 5%
AMD Ryzen 5 · Firefox,"время кадра, p99, мс",R3F ref,×1.02 [0.98–1.06],1.000,не ясно
AMD Ryzen 5 · Firefox,"время кадра, p99, мс",R3F ref-central,×0.99 [0.97–1.06],1.000,не ясно
AMD Ryzen 5 · Firefox,"время кадра, p99, мс",R3F state,×4.48 [4.37–4.67],"< 0,001",больше на 348%
AMD Ryzen 5 · Firefox,"время кадра, p99, мс",R3F ref + parent-state,×2.88 [2.82–3.01],"< 0,001",больше на 188%
AMD Ryzen 5 · Firefox,"время кадра, СКО, мс",R3F ref,×0.91 [0.69–1.04],0.744,не ясно
AMD Ryzen 5 · Firefox,"время кадра, СКО, мс",R3F ref-central,×1.14 [0.97–1.44],1.000,не ясно
AMD Ryzen 5 · Firefox,"время кадра, СКО, мс",R3F state,×21.98 [21.09–24.01],"< 0,001",больше на 2098%
AMD Ryzen 5 · Firefox,"время кадра, СКО, мс",R3F ref + parent-state,×7.97 [7.66–8.69],"< 0,001",больше на 697%
AMD Ryzen 5 · Firefox,"время кадра, медиана, мс",R3F ref,×1.04 [1.02–1.05],"< 0,001",больше на 4%
AMD Ryzen 5 · Firefox,"время кадра, медиана, мс",R3F ref-central,×0.98 [0.96–0.99],0.034,≈ равны
AMD Ryzen 5 · Firefox,"время кадра, медиана, мс",R3F state,×2.75 [2.48–3.44],"< 0,001",больше на 175%
AMD Ryzen 5 · Firefox,"время кадра, медиана, мс",R3F ref + parent-state,×1.04 [1.02–1.06],0.001,больше на 4%
Apple M4 · Chrome,"время кадра, p99, мс",R3F ref,×1.00 [0.99–1.00],1.000,≈ равны
Apple M4 · Chrome,"время кадра, p99, мс",R3F ref-central,×0.92 [0.92–1.01],1.000,не ясно
Apple M4 · Chrome,"время кадра, p99, мс",R3F state,×3.59 [3.47–3.61],"< 0,001",больше на 259%
Apple M4 · Chrome,"время кадра, p99, мс",R3F ref + parent-state,×1.51 [1.47–1.54],"< 0,001",больше на 51%
Apple M4 · Chrome,"время кадра, СКО, мс",R3F ref,×0.75 [0.72–0.77],"< 0,001",меньше на 25%
Apple M4 · Chrome,"время кадра, СКО, мс",R3F ref-central,×0.91 [0.86–1.01],0.216,не ясно
Apple M4 · Chrome,"время кадра, СКО, мс",R3F state,×6.80 [6.55–6.92],"< 0,001",больше на 580%
Apple M4 · Chrome,"время кадра, СКО, мс",R3F ref + parent-state,×5.08 [4.85–5.17],"< 0,001",больше на 408%
Apple M4 · Chrome,"время кадра, медиана, мс",R3F ref,×1.00 [1.00–1.01],0.969,≈ равны
Apple M4 · Chrome,"время кадра, медиана, мс",R3F ref-central,×0.93 [0.93–1.00],1.000,не ясно
Apple M4 · Chrome,"время кадра, медиана, мс",R3F state,×2.74 [2.72–2.76],"< 0,001",больше на 174%
Apple M4 · Chrome,"время кадра, медиана, мс",R3F ref + parent-state,×0.98 [0.98–0.99],"< 0,001",≈ равны
