платформа,показатель,three.js,R3F ref,R3F events,R3F state
Apple M4 · Chrome,"задержка, медиана, мс",6.6099999994039536,6.681249991059303,7.429999999701977,11.265000008046627
Apple M4 · Chrome,"задержка, p95, мс",8.511999997496606,8.461500011384487,9.06550000309944,13.00549999177456
Apple M4 · Chrome,"обработчик клика (dispatch), мс",0.33249998092651367,0.3174999952316284,1.0150000005960464,4.962499991059303
Apple M4 · Chrome,"  из них применение изменения (apply), мс",0.0,0.0,0.2825000137090683,4.617500007152557
Apple M4 · Chrome,попаданий по объекту за прогон,54.5,54.5,53.5,53.5
AMD Ryzen 5 · Chrome,"задержка, медиана, мс",23.923750000074506,24.143750000279397,25.727500000037253,38.329999999608845
AMD Ryzen 5 · Chrome,"задержка, p95, мс",26.968374999938533,27.06862500007264,28.8632500003092,43.08924999977462
AMD Ryzen 5 · Chrome,"обработчик клика (dispatch), мс",0.6225000005215406,0.6349999997764826,2.0674999998882413,15.34499999973923
AMD Ryzen 5 · Chrome,"  из них применение изменения (apply), мс",0.0,0.0,0.6575000006705523,14.496249999385327
AMD Ryzen 5 · Chrome,попаданий по объекту за прогон,50.0,49.5,49.5,48.5
AMD Ryzen 5 · Firefox,"задержка, медиана, мс",26.43000000000393,25.81999999999971,28.61999999999898,52.57999999999993
AMD Ryzen 5 · Firefox,"задержка, p95, мс",35.3449999999998,34.86949999999988,38.110999999998015,63.65449999999908
AMD Ryzen 5 · Firefox,"обработчик клика (dispatch), мс",1.2599999999993088,1.3550000000013824,4.389999999997599,28.34999999999991
AMD Ryzen 5 · Firefox,"  из них применение изменения (apply), мс",0.0,0.0,1.4599999999995816,26.80499999999938
AMD Ryzen 5 · Firefox,попаданий по объекту за прогон,47.0,47.0,45.0,44.0
